product,store_id,brand_id,date,quantity,MA7_P,LAG7_P,MA7_B,LAG7_B,MA7_S,LAG7_S
0,,0,2021-01-08,10,10.0,,,,,
0,,0,2021-01-08,11,9.0,0.0,,,,
0,,0,2021-01-08,7,9.571428571428571,0.0,,,,
0,,0,2021-01-08,17,6.285714285714286,1.0,,,,
0,,0,2021-01-08,12,11.285714285714286,15.0,,,,
0,,0,2021-01-09,10,10.0,,,,,
0,,0,2021-01-09,16,8.571428571428571,19.0,,,,
0,,0,2021-01-09,14,9.571428571428571,14.0,,,,
0,,0,2021-01-09,9,7.142857142857143,3.0,,,,
0,,0,2021-01-09,1,9.714285714285714,12.0,,,,
0,,0,2021-01-10,3,7.666666666666667,,,,,
0,,0,2021-01-10,12,8.571428571428571,12.0,,,,
0,,0,2021-01-10,13,11.285714285714286,1.0,,,,
0,,0,2021-01-10,3,7.428571428571429,1.0,,,,
0,,0,2021-01-10,12,11.0,3.0,,,,
0,,0,2021-01-11,7,7.5,,,,,
0,,0,2021-01-11,19,10.142857142857142,8.0,,,,
0,,0,2021-01-11,17,11.857142857142858,13.0,,,,
0,,0,2021-01-11,11,7.0,14.0,,,,
0,,0,2021-01-11,18,11.285714285714286,16.0,,,,
0,,0,2021-01-12,2,6.4,,,,,
0,,0,2021-01-12,3,10.285714285714286,2.0,,,,
0,,0,2021-01-12,19,13.571428571428571,7.0,,,,
0,,0,2021-01-12,7,7.857142857142857,1.0,,,,
0,,0,2021-01-12,2,11.571428571428571,0.0,,,,
0,,0,2021-01-13,1,5.5,,,,,
0,,0,2021-01-13,9,10.714285714285714,6.0,,,,
0,,0,2021-01-13,6,13.428571428571429,7.0,,,,
0,,0,2021-01-13,1,7.571428571428571,3.0,,,,
0,,0,2021-01-13,9,10.428571428571429,17.0,,,,
0,,0,2021-01-14,11,6.285714285714286,,,,,
0,,0,2021-01-14,2,10.285714285714286,5.0,,,,
0,,0,2021-01-14,2,11.142857142857142,18.0,,,,
0,,0,2021-01-14,12,8.571428571428571,5.0,,,,
0,,0,2021-01-14,1,7.857142857142857,19.0,,,,
0,,0,2021-01-15,5,5.571428571428571,10.0,,,,
0,,0,2021-01-15,8,9.857142857142858,11.0,,,,
0,,0,2021-01-15,11,11.714285714285714,7.0,,,,
0,,0,2021-01-15,15,8.285714285714286,17.0,,,,
0,,0,2021-01-15,12,7.857142857142857,12.0,,,,
0,,0,2021-01-16,1,4.285714285714286,10.0,,,,
0,,0,2021-01-16,12,9.285714285714286,16.0,,,,
0,,0,2021-01-16,2,10.0,14.0,,,,
0,,0,2021-01-16,1,7.142857142857143,9.0,,,,
0,,0,2021-01-16,18,10.285714285714286,1.0,,,,
0,,0,2021-01-17,0,3.857142857142857,3.0,,,,
0,,0,2021-01-17,17,10.0,12.0,,,,
0,,0,2021-01-17,19,10.857142857142858,13.0,,,,
